TRINITY_DN11507_c0_g2	TRINITY_DN11507_c0_g2_i1
TRINITY_DN11509_c0_g1	TRINITY_DN11509_c0_g1_i1
TRINITY_DN11509_c0_g2	TRINITY_DN11509_c0_g2_i1
TRINITY_DN11514_c0_g2	TRINITY_DN11514_c0_g2_i1
TRINITY_DN11518_c0_g1	TRINITY_DN11518_c0_g1_i1
TRINITY_DN11522_c0_g1	TRINITY_DN11522_c0_g1_i1
TRINITY_DN11522_c1_g1	TRINITY_DN11522_c1_g1_i1
TRINITY_DN11522_c2_g1	TRINITY_DN11522_c2_g1_i1
TRINITY_DN11524_c0_g2	TRINITY_DN11524_c0_g2_i1
TRINITY_DN11525_c0_g1	TRINITY_DN11525_c0_g1_i1
TRINITY_DN11525_c0_g2	TRINITY_DN11525_c0_g2_i1
TRINITY_DN11527_c0_g3	TRINITY_DN11527_c0_g3_i1
TRINITY_DN11528_c0_g1	TRINITY_DN11528_c0_g1_i1
TRINITY_DN11531_c0_g1	TRINITY_DN11531_c0_g1_i1
TRINITY_DN11538_c0_g1	TRINITY_DN11538_c0_g1_i1
TRINITY_DN11540_c0_g1	TRINITY_DN11540_c0_g1_i1
TRINITY_DN11544_c0_g1	TRINITY_DN11544_c0_g1_i1
TRINITY_DN11544_c0_g1	TRINITY_DN11544_c0_g1_i2
TRINITY_DN11547_c0_g1	TRINITY_DN11547_c0_g1_i1
TRINITY_DN11547_c0_g2	TRINITY_DN11547_c0_g2_i1
TRINITY_DN11549_c0_g1	TRINITY_DN11549_c0_g1_i1
TRINITY_DN11550_c0_g1	TRINITY_DN11550_c0_g1_i1
TRINITY_DN11551_c0_g1	TRINITY_DN11551_c0_g1_i1
TRINITY_DN11551_c0_g2	TRINITY_DN11551_c0_g2_i1
TRINITY_DN11552_c0_g1	TRINITY_DN11552_c0_g1_i1
TRINITY_DN11558_c0_g1	TRINITY_DN11558_c0_g1_i1
TRINITY_DN11561_c0_g1	TRINITY_DN11561_c0_g1_i1
TRINITY_DN11565_c0_g1	TRINITY_DN11565_c0_g1_i1
TRINITY_DN11566_c0_g1	TRINITY_DN11566_c0_g1_i1
TRINITY_DN11568_c0_g1	TRINITY_DN11568_c0_g1_i1
TRINITY_DN11569_c0_g1	TRINITY_DN11569_c0_g1_i1
TRINITY_DN11570_c0_g1	TRINITY_DN11570_c0_g1_i1
TRINITY_DN11571_c0_g1	TRINITY_DN11571_c0_g1_i2
TRINITY_DN11572_c0_g1	TRINITY_DN11572_c0_g1_i1
TRINITY_DN11577_c0_g1	TRINITY_DN11577_c0_g1_i1
TRINITY_DN11580_c0_g1	TRINITY_DN11580_c0_g1_i1
TRINITY_DN11582_c0_g1	TRINITY_DN11582_c0_g1_i1
TRINITY_DN11584_c0_g1	TRINITY_DN11584_c0_g1_i1
TRINITY_DN11588_c0_g1	TRINITY_DN11588_c0_g1_i1
TRINITY_DN11592_c0_g1	TRINITY_DN11592_c0_g1_i1
TRINITY_DN59416_c0_g1	TRINITY_DN59416_c0_g1_i1
TRINITY_DN59446_c0_g1	TRINITY_DN59446_c0_g1_i1
TRINITY_DN59461_c0_g1	TRINITY_DN59461_c0_g1_i1
TRINITY_DN59486_c0_g1	TRINITY_DN59486_c0_g1_i1
TRINITY_DN60702_c0_g1	TRINITY_DN60702_c0_g1_i1
TRINITY_DN60704_c0_g1	TRINITY_DN60704_c0_g1_i1
TRINITY_DN60707_c0_g1	TRINITY_DN60707_c0_g1_i1
TRINITY_DN60708_c0_g1	TRINITY_DN60708_c0_g1_i1
TRINITY_DN60713_c0_g1	TRINITY_DN60713_c0_g1_i1
TRINITY_DN60714_c0_g1	TRINITY_DN60714_c0_g1_i1
TRINITY_DN60717_c0_g1	TRINITY_DN60717_c0_g1_i1
TRINITY_DN60729_c0_g1	TRINITY_DN60729_c0_g1_i1
TRINITY_DN60730_c0_g1	TRINITY_DN60730_c0_g1_i1
TRINITY_DN60732_c0_g1	TRINITY_DN60732_c0_g1_i1
TRINITY_DN60734_c0_g1	TRINITY_DN60734_c0_g1_i1
TRINITY_DN60735_c0_g1	TRINITY_DN60735_c0_g1_i1
TRINITY_DN60753_c0_g1	TRINITY_DN60753_c0_g1_i1
TRINITY_DN60760_c0_g1	TRINITY_DN60760_c0_g1_i1
TRINITY_DN60761_c0_g2	TRINITY_DN60761_c0_g2_i1
TRINITY_DN60768_c0_g1	TRINITY_DN60768_c0_g1_i1
TRINITY_DN60769_c0_g2	TRINITY_DN60769_c0_g2_i1
TRINITY_DN60777_c0_g1	TRINITY_DN60777_c0_g1_i1
TRINITY_DN60777_c0_g2	TRINITY_DN60777_c0_g2_i1
TRINITY_DN66904_c0_g1	TRINITY_DN66904_c0_g1_i1
TRINITY_DN66911_c0_g1	TRINITY_DN66911_c0_g1_i1
TRINITY_DN66920_c0_g1	TRINITY_DN66920_c0_g1_i1
TRINITY_DN66923_c0_g1	TRINITY_DN66923_c0_g1_i1
TRINITY_DN66923_c0_g2	TRINITY_DN66923_c0_g2_i1
TRINITY_DN66931_c0_g1	TRINITY_DN66931_c0_g1_i1
TRINITY_DN66944_c0_g1	TRINITY_DN66944_c0_g1_i1
TRINITY_DN66947_c0_g1	TRINITY_DN66947_c0_g1_i1
TRINITY_DN66953_c0_g1	TRINITY_DN66953_c0_g1_i1
TRINITY_DN66956_c0_g1	TRINITY_DN66956_c0_g1_i1
TRINITY_DN66957_c0_g1	TRINITY_DN66957_c0_g1_i1
TRINITY_DN66959_c0_g1	TRINITY_DN66959_c0_g1_i1
TRINITY_DN66969_c0_g1	TRINITY_DN66969_c0_g1_i1
TRINITY_DN66972_c0_g1	TRINITY_DN66972_c0_g1_i1
TRINITY_DN66981_c0_g1	TRINITY_DN66981_c0_g1_i1
TRINITY_DN66986_c0_g1	TRINITY_DN66986_c0_g1_i1
TRINITY_DN66988_c0_g1	TRINITY_DN66988_c0_g1_i1
TRINITY_DN66995_c0_g1	TRINITY_DN66995_c0_g1_i1
TRINITY_DN66996_c0_g1	TRINITY_DN66996_c0_g1_i1
TRINITY_DN81701_c0_g1	TRINITY_DN81701_c0_g1_i1
TRINITY_DN81702_c0_g1	TRINITY_DN81702_c0_g1_i1
TRINITY_DN81704_c0_g1	TRINITY_DN81704_c0_g1_i1
TRINITY_DN81722_c0_g1	TRINITY_DN81722_c0_g1_i1
TRINITY_DN81725_c0_g1	TRINITY_DN81725_c0_g1_i1
TRINITY_DN81726_c0_g1	TRINITY_DN81726_c0_g1_i1
TRINITY_DN81731_c0_g1	TRINITY_DN81731_c0_g1_i1
TRINITY_DN81736_c0_g1	TRINITY_DN81736_c0_g1_i1
TRINITY_DN81744_c0_g1	TRINITY_DN81744_c0_g1_i1
TRINITY_DN81748_c0_g1	TRINITY_DN81748_c0_g1_i1
TRINITY_DN81750_c0_g1	TRINITY_DN81750_c0_g1_i1
TRINITY_DN81754_c0_g1	TRINITY_DN81754_c0_g1_i1
TRINITY_DN81766_c0_g1	TRINITY_DN81766_c0_g1_i1
TRINITY_DN81770_c0_g1	TRINITY_DN81770_c0_g1_i1
TRINITY_DN81770_c0_g2	TRINITY_DN81770_c0_g2_i1
TRINITY_DN81774_c0_g1	TRINITY_DN81774_c0_g1_i1
TRINITY_DN81778_c0_g1	TRINITY_DN81778_c0_g1_i1
TRINITY_DN81779_c0_g1	TRINITY_DN81779_c0_g1_i1
TRINITY_DN81785_c0_g1	TRINITY_DN81785_c0_g1_i1
TRINITY_DN81795_c0_g1	TRINITY_DN81795_c0_g1_i1
